candidate_id,country,cnn_split_assigned,lat,lng,true_label,dist_to_train_m,blocked_split
USA_cluster_3527,United States,train,35.04220615047695,-120.54456948256292,0,,train
USA_cluster_3555,United States,train,35.26832875919401,-120.67608715927066,0,,train
USA_cluster_3557,United States,train,35.244968695387044,-120.67155978938044,0,,train
USA_cluster_3565,United States,train,35.2435368122092,-120.64551348273314,0,,train
USA_cluster_59,United States,test,19.674813926604603,-156.01301616840246,0,266527.78410789097,test
USA_cluster_61,United States,val,19.688109337643706,-156.01599612800237,0,265226.05108078255,val
USA_cluster_57,United States,train,21.87550912644321,-159.44152853284174,0,,train
USA_cluster_100,United States,train,61.25101730937633,-149.7735661871971,0,,train
USA_cluster_25,United States,train,21.43795084405054,-157.7473289975323,0,,train
USA_cluster_1022,United States,train,36.61531941007666,-121.93469825564704,0,,train
USA_cluster_1079,United States,test,37.139649205180426,-121.65386599328374,0,55420.788768035876,test
USA_cluster_1140,United States,train,37.54230056256515,-121.24584398621434,1,,train
USA_cluster_1152,United States,train,37.63708646036662,-121.14643432945212,3,,train
USA_cluster_1157,United States,val,38.018209135635125,-121.26637470307286,0,9217.373552508541,val
USA_cluster_1345,United States,test,37.52003899272039,-120.76526006310992,1,3502.0100812047726,test
USA_cluster_1346,United States,train,37.6953667750908,-120.82812347487668,1,,train
USA_cluster_1351,United States,train,37.414091243009565,-120.74491191964138,1,,train
USA_cluster_1368,United States,test,37.70956135724373,-120.7075036321881,1,1776.2209913280374,test
USA_cluster_1357,United States,train,37.411487181185215,-120.74491677755664,1,,train
USA_cluster_1377,United States,train,37.7123782097814,-120.72737910591654,1,,train
USA_cluster_1222,United States,train,37.90374785957592,-121.58712421242868,0,,train
USA_cluster_1392,United States,train,37.31104695583661,-120.66424337733132,1,,train
USA_cluster_1400,United States,train,37.6955393388901,-120.8512249373432,1,,train
USA_cluster_1396,United States,train,37.669688724447816,-120.77608989697887,1,,train
USA_cluster_1327,United States,train,37.97542634353244,-121.15895452097834,1,,train
USA_cluster_1413,United States,train,37.72983160636979,-120.81346710910584,1,,train
USA_cluster_1427,United States,val,37.7192129623995,-120.48985587559426,1,18934.62441214387,val
USA_cluster_1430,United States,val,37.552060564239504,-120.74008778254846,1,5245.9573831887865,val
USA_cluster_1422,United States,train,37.522139734470045,-120.6871501333856,1,,train
USA_cluster_1425,United States,train,37.74480764296863,-120.8149206498897,1,,train
USA_cluster_1435,United States,train,37.72983527283135,-120.81474015654136,1,,train
USA_cluster_1438,United States,val,37.418351075762445,-120.8889531734266,3,1703.146547757191,val
USA_cluster_1445,United States,train,37.41275674369519,-120.614309960824,3,,train
USA_cluster_1443,United States,train,37.33869211955607,-120.58536877230392,0,,train
USA_cluster_1440,United States,test,37.53761742959573,-120.73975635986903,1,3666.396882463553,test
USA_cluster_1482,United States,val,37.56463733492987,-120.82325375307798,1,8797.914688473218,val
USA_cluster_1503,United States,train,37.50556632102586,-120.72999603558104,1,,train
USA_cluster_1458,United States,train,37.31921225706213,-120.73967134712828,1,,train
USA_cluster_1532,United States,train,37.29289827762827,-120.71744011292648,1,,train
USA_cluster_1525,United States,test,37.81690596890192,-120.47682484748658,1,24903.26779023535,test
USA_cluster_1559,United States,train,37.49069525895318,-120.73614839040992,3,,train
USA_cluster_1577,United States,train,37.66960044446731,-120.69571842496656,1,,train
USA_cluster_1581,United States,val,37.42761918889286,-120.86445388926823,3,2041.9927462453509,val
USA_cluster_1573,United States,val,37.73425945185095,-120.8803790356007,3,5011.350100498204,val
USA_cluster_1623,United States,test,37.40052012536257,-120.88377837576692,3,1484.1444167545644,test
USA_cluster_1653,United States,train,37.93914130885736,-120.80888431714438,1,,train
USA_cluster_1671,United States,train,37.376260442648245,-120.61522048694675,0,,train
USA_cluster_1693,United States,train,37.43964654980723,-120.80663826766724,0,,train
USA_cluster_1729,United States,train,37.45849201260214,-120.95707860063284,3,,train
USA_cluster_1569,United States,train,37.4900073823324,-120.79011757590608,3,,train
USA_cluster_1707,United States,train,37.410395281364096,-120.87247436891408,3,,train
USA_cluster_1730,United States,train,37.20175648845383,-121.0332546184151,1,,train
USA_cluster_1734,United States,train,37.53807672414575,-121.02838454300924,1,,train
USA_cluster_1739,United States,train,37.52448898211977,-120.9528387430838,1,,train
USA_cluster_1735,United States,train,37.54481105816984,-120.92789586017588,1,,train
USA_cluster_1744,United States,train,37.45263915232356,-121.0748273069205,1,,train
USA_cluster_1750,United States,test,37.4844155782729,-121.00913731584008,3,4342.120497840454,test
USA_cluster_1753,United States,train,37.45047991860605,-120.96845280041175,3,,train
USA_cluster_1759,United States,test,37.28682371309369,-120.99640208713012,1,2117.987875262873,test
USA_cluster_1755,United States,train,37.25335714597861,-120.9843238577544,3,,train
USA_cluster_1778,United States,test,37.27752869501212,-121.00014370746234,3,3030.491507550888,test
USA_cluster_1790,United States,train,37.52331042582161,-121.01351562344024,3,,train
USA_cluster_1804,United States,val,37.42889763219509,-120.90538442454854,3,3560.841563117906,val
USA_cluster_1672,United States,train,37.35822702192196,-120.75842934945966,1,,train
USA_cluster_1795,United States,val,37.51575511919,-120.95919424108114,3,1014.7709654484274,excluded_spatial_leak
USA_cluster_1800,United States,train,37.49397779813686,-120.92011257326348,3,,train
USA_cluster_1797,United States,train,37.51550546973708,-120.91585675803113,3,,train
USA_cluster_1772,United States,train,37.30562904927111,-120.99259601753856,3,,train
USA_cluster_1918,United States,train,38.25004761046368,-121.18899406422852,1,,train
USA_cluster_1902,United States,train,38.16123323372472,-121.260696402877,0,,train
USA_cluster_1799,United States,test,37.26938960376688,-120.99761224083136,3,2135.669608993312,test
USA_cluster_1916,United States,train,38.16708569785529,-121.3701522923336,1,,train
USA_cluster_2034,United States,eval,46.1835129715479,-120.0206290853073,3,50232.28885304245,eval
USA_cluster_2152,United States,test,47.90522569221904,-122.09970374554138,0,231.28747157559187,excluded_spatial_leak
USA_cluster_2113,United States,train,47.011691024070885,-123.38481428476992,0,,train
USA_cluster_2111,United States,test,46.900028032292006,-124.1073992662924,0,56230.058966038916,test
USA_cluster_2159,United States,train,47.93575081810864,-122.10806252110436,0,,train
USA_cluster_2004,United States,train,46.55786194661718,-120.38710869630862,0,,train
USA_cluster_2104,United States,val,46.998214522704615,-123.44904917451169,0,5096.087683267375,val
USA_cluster_2068,United States,train,44.297941665090455,-121.55961166311178,0,,train
USA_cluster_2197,United States,val,48.45991869132608,-122.55275356123155,0,15164.325060442565,val
USA_cluster_2199,United States,train,48.45644685418387,-122.3471763890793,0,,train
USA_cluster_2160,United States,train,47.87071501252556,-121.99417748542038,0,,train
USA_cluster_2154,United States,train,47.903161104510126,-122.10008098357952,0,,train
USA_cluster_2334,United States,train,47.14360134036102,-122.29097336814694,0,,train
USA_cluster_2329,United States,train,47.12031695047519,-122.16543001123542,0,,train
USA_cluster_2360,United States,train,47.56321768313428,-122.0390041134468,0,,train
USA_cluster_2339,United States,val,47.19801096579765,-121.98579860884836,0,11914.12191466527,val
USA_cluster_2367,United States,train,47.78473122608713,-122.14728461623945,0,,train
USA_cluster_2331,United States,val,47.201272872525,-121.96683355005342,0,13391.370827886833,val
USA_cluster_2347,United States,train,47.16805646981991,-122.13715988185923,0,,train
USA_cluster_2359,United States,test,47.53528265939984,-122.62281157667876,0,1921.4638586456138,test
USA_cluster_2455,United States,train,47.18911501634648,-122.27324650240097,0,,train
USA_cluster_2485,United States,train,47.1074657927476,-122.62466442416486,0,,train
USA_cluster_2487,United States,train,47.14467368802197,-122.51097086644914,0,,train
USA_cluster_2407,United States,train,47.80507279581915,-122.50579370073196,0,,train
USA_cluster_2459,United States,val,47.13782217636825,-122.35557614823624,0,2559.77198898682,val
USA_cluster_2492,United States,train,47.14347997236475,-122.49497787107332,0,,train
USA_cluster_2465,United States,val,47.15684163464081,-122.3561905510258,0,4664.895075709298,val
USA_cluster_2155,United States,train,47.93708634014634,-122.10607145327332,0,,train
USA_cluster_2509,United States,train,47.10276684394641,-122.5421324084697,0,,train
USA_cluster_2525,United States,test,47.09109636763508,-122.61860000952572,0,822.1175577241573,excluded_spatial_leak
USA_cluster_2563,United States,train,45.9859557876965,-122.82835387698913,0,,train
USA_cluster_2473,United States,test,47.153148002117504,-122.29105636623636,0,1061.5589097014974,excluded_spatial_leak
USA_cluster_2537,United States,train,47.59107122298655,-120.6697826722172,0,,train
USA_cluster_2364,United States,val,47.89539169897916,-122.29003191326004,0,14186.992195536235,val
USA_cluster_2556,United States,train,49.00015482314618,-122.75381636685384,0,,train
USA_cluster_2573,United States,train,45.92682346711722,-122.72126257463064,0,,train
