candidate_id,iso,stratum,lat,lng,pred,p_farm,p_poultry,p_pigs,true,split
IDN_cluster_2662,IDN,poultry_top,-6.199705449361749,107.2629266971242,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_5500,IDN,poultry_top,-5.636298132896585,105.54902656909296,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_9719,IDN,poultry_top,-7.565652961626927,109.1585245944193,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_10062,IDN,poultry_top,-6.82018900015791,110.60772791163966,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_5345,IDN,poultry_top,-5.255912921934774,105.24762690588535,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_6918,IDN,poultry_top,-6.749692595744509,111.57784837526144,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_7309,IDN,poultry_top,-7.946660599665099,113.32783807310074,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_6299,IDN,poultry_top,-6.497233713527159,108.0542832880249,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_3778,IDN,poultry_top,-6.593741302765844,107.86865064854528,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_6191,IDN,poultry_top,-6.49711102047875,108.0218941715846,Poultry,1.0,1.0,0.0,,predict
IDN_cluster_7326,IDN,pigs_top,-7.736489402190643,113.45104152447148,Pigs,0.998,0.008,0.99,,predict
IDN_cluster_6163,IDN,pigs_top,-6.994776866270367,108.08163448621548,Pigs,0.988,0.023,0.963,,predict
IDN_cluster_9929,IDN,pigs_top,-6.813782727292848,110.95434700338424,Pigs,0.988,0.023,0.963,,predict
IDN_cluster_3137,IDN,pigs_top,-6.05055373107545,107.32712596153009,Pigs,0.989,0.031,0.952,,predict
IDN_cluster_2189,IDN,pigs_top,1.0961623831388072,104.3068271507908,Pigs,0.975,0.037,0.929,,predict
IDN_cluster_8223,IDN,pigs_top,-6.8788686865234565,109.34857576770366,Pigs,0.994,0.057,0.925,,predict
IDN_cluster_2680,IDN,pigs_top,-6.190168077362936,107.1609178644014,Pigs,0.944,0.029,0.905,,predict
IDN_cluster_5166,IDN,pigs_top,-4.8146043887771,105.34816342832931,Pigs,0.996,0.09,0.905,,predict
IDN_cluster_9892,IDN,pigs_top,-6.866717176913416,110.88247178150904,Pigs,0.986,0.114,0.868,,predict
IDN_cluster_3410,IDN,pigs_top,-6.225324496200164,106.16854819867731,Pigs,0.934,0.057,0.859,,predict
IDN_cluster_9727,IDN,borderline,-7.5955326427555825,109.08550498343386,NotFarm,0.493,0.478,0.015,,predict
IDN_cluster_499,IDN,borderline,3.469177813053261,98.60870717197618,Poultry,0.575,0.568,0.006,,predict
IDN_cluster_12382,IDN,borderline,-3.483994300332452,120.88783190066572,NotFarm,0.403,0.372,0.026,,predict
IDN_cluster_6290,IDN,borderline,-6.693561149455697,108.1079749639455,NotFarm,0.508,0.307,0.185,,predict
IDN_cluster_3896,IDN,borderline,-6.457675508460848,107.72338217418292,NotFarm,0.507,0.303,0.191,,predict
IDN_cluster_12045,IDN,borderline,-8.562751850354093,116.24132726414324,NotFarm,0.5,0.491,0.008,,predict
