candidate_id,split
BRA_cluster_1039,inspected
BRA_cluster_10325,inspected
BRA_cluster_10356,inspected
BRA_cluster_10378,inspected
BRA_cluster_10625,val
BRA_cluster_10909,inspected
BRA_cluster_10592,inspected
BRA_cluster_10912,inspected
BRA_cluster_11,inspected
BRA_cluster_11393,inspected
BRA_cluster_1125,train
BRA_cluster_114,inspected
BRA_cluster_12075,inspected
BRA_cluster_12763,val
BRA_cluster_12764,inspected
BRA_cluster_1240,inspected
BRA_cluster_12901,inspected
BRA_cluster_13254,train
BRA_cluster_13486,train
BRA_cluster_13347,inspected
BRA_cluster_13509,train
BRA_cluster_14091,inspected
BRA_cluster_14100,train
BRA_cluster_14142,train
BRA_cluster_14175,val
BRA_cluster_14231,train
BRA_cluster_14242,train
BRA_cluster_14393,inspected
BRA_cluster_14508,train
BRA_cluster_14557,inspected
BRA_cluster_14610,train
BRA_cluster_14670,inspected
BRA_cluster_1482,inspected
BRA_cluster_14855,train
BRA_cluster_1556,train
BRA_cluster_15558,train
BRA_cluster_15643,train
BRA_cluster_15736,train
BRA_cluster_15760,train
BRA_cluster_15840,train
BRA_cluster_15883,inspected
BRA_cluster_15942,inspected
BRA_cluster_16065,train
BRA_cluster_15934,inspected
BRA_cluster_16350,inspected
BRA_cluster_16724,train
BRA_cluster_16438,inspected
BRA_cluster_16298,inspected
BRA_cluster_17131,inspected
BRA_cluster_172,train
BRA_cluster_1722,train
BRA_cluster_17316,val
BRA_cluster_1740,inspected
BRA_cluster_17718,inspected
BRA_cluster_17773,inspected
BRA_cluster_17979,inspected
BRA_cluster_18010,inspected
BRA_cluster_18059,train
BRA_cluster_18235,inspected
BRA_cluster_18292,test
BRA_cluster_18278,train
BRA_cluster_18305,train
BRA_cluster_18307,train
BRA_cluster_18355,inspected
BRA_cluster_18393,train
BRA_cluster_18406,inspected
BRA_cluster_18470,inspected
BRA_cluster_18593,train
BRA_cluster_18594,inspected
BRA_cluster_18597,train
BRA_cluster_18604,test
BRA_cluster_18648,train
BRA_cluster_18630,inspected
BRA_cluster_18690,train
BRA_cluster_18693,train
